,小区分,succeed,normal,diff,diff_abs,pvalue
A0101,パッシブ・ウェアラブル・コンピュータ,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
A0102,オートノマス・ウェアラブル・コンピュータ,0.55223880597,0.972222222222,-0.419983416252,0.419983416252,3.09740342425e-06
A0198,パッシブ・オートノマスに関し非限定,0.417910447761,0.0277777777778,0.390132669983,0.390132669983,1.07188699774e-05
B0101,（支持部）耳かけ付眼鏡型,0.0746268656716,0.0277777777778,0.0468490878939,0.0468490878939,0.310363955208
B0102,（支持部）直接装着型,0.0,0.0277777777778,-0.0277777777778,0.0277777777778,0.0529895915672
B0103,（支持部）間接装着型,0.0,0.0,0.0,0.0,
B0104,（表示部）透過型,0.0,0.0,0.0,0.0,
B0105,（表示部）非透過型,0.0,0.0,0.0,0.0,
B0106,（表示部）両目型,0.0,0.0,0.0,0.0,
B0107,（表示部）片目型,0.0,0.0,0.0,0.0,
B0198,HMD・眼鏡型に関し非限定,0.328358208955,0.0833333333333,0.245024875622,0.245024875622,0.00351893476701
B0199,その他のHMD・眼鏡型,0.0,0.25,-0.25,0.25,2.72280711208e-09
B0201,帽子型,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
B0202,コンタクトレンズ型,0.0,0.0,0.0,0.0,
B0203,耳装着型,0.0,0.0277777777778,-0.0277777777778,0.0277777777778,0.0529895915672
B0204,ヘアバンド型,0.0298507462687,0.0555555555556,-0.0257048092869,0.0257048092869,0.458044849995
B0298,頭部装着型に関し非限定,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
B0299,その他の装着型（頭部）,0.0,0.0,0.0,0.0,
B0301,リストバンド型,0.134328358209,0.472222222222,-0.337893864013,0.337893864013,8.52679271335e-06
B0302,腕時計型,1.0,1.0,0.0,0.0,
B0303,アームバンド型,0.044776119403,0.0277777777778,0.0169983416252,0.0169983416252,0.648596052861
B0304,手袋,0.0,0.0,0.0,0.0,
B0305,指輪型,0.044776119403,0.0833333333333,-0.0385572139303,0.0385572139303,0.358998548235
B0398,腕部・手部装着型に関し非限定,0.0,0.0,0.0,0.0,
B0399,その他の装着型（腕部）,0.0,0.0,0.0,0.0,
B0401,足環型,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
B0402,靴型,0.0,0.0,0.0,0.0,
B0403,靴下型,0.0,0.0,0.0,0.0,
B0404,ズボン・スパッツ型,0.0,0.0,0.0,0.0,
B0498,脚・足部装着型に関し非限定,0.0,0.0,0.0,0.0,
B0499,その他の装着型（脚部）,0.0,0.0,0.0,0.0,
B0501,サポータ型,0.0,0.0,0.0,0.0,
B0502,貼布型（デジタルタトゥー）,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
B0598,装着型（各部位）に関し非限定,0.0,0.0,0.0,0.0,
B0599,その他の装着型（各部位共通）,0.0,0.0,0.0,0.0,
B0601,ブローチ型,0.0373134328358,0.0555555555556,-0.0182421227197,0.0182421227197,0.624800401055
B0602,ネックレス型,0.0597014925373,0.0,0.0597014925373,0.0597014925373,0.133149931345
B0603,襟装着型,0.0,0.0,0.0,0.0,
B0604,ベルト型,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
B0605,バッジ型,0.0,0.0,0.0,0.0,
B0606,ポケット持ち運び型,0.111940298507,0.0,0.111940298507,0.111940298507,0.0355234441638
B0698,装身型に関し非限定,0.0,0.0,0.0,0.0,
B0699,その他の装身型,0.00746268656716,0.0,0.00746268656716,0.00746268656716,0.603166532239
B0701,下着・肌着,0.0,0.0,0.0,0.0,
B0702,上着,0.0,0.25,-0.25,0.25,2.72280711208e-09
B0798,着衣型に関し非限定,0.044776119403,0.0,0.044776119403,0.044776119403,0.196136193354
B0799,その他の着衣型,0.0,0.0,0.0,0.0,
B0801,上半身パワースーツ型,0.0,0.0,0.0,0.0,
B0802,下半身パワースーツ型,0.0,0.0,0.0,0.0,
B0803,全身パワースーツ型,0.0,0.0,0.0,0.0,
B0898,パワースーツ型に非限定,0.0,0.0,0.0,0.0,
B0899,その他のパワースーツ,0.0,0.0,0.0,0.0,
B9998,種別に関し非限定,0.380597014925,0.0555555555556,0.32504145937,0.32504145937,0.000185510855153
B9999,その他の種別,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
C0101,安全性の向上,0.0298507462687,0.0555555555556,-0.0257048092869,0.0257048092869,0.458044849995
C0102,娯楽性付与・向上,0.00746268656716,0.0,0.00746268656716,0.00746268656716,0.603166532239
C0103,作業効率向上,0.089552238806,0.0277777777778,0.0617744610282,0.0617744610282,0.215615729458
C0104,操作性の向上,0.507462686567,0.194444444444,0.313018242123,0.313018242123,0.000784545344143
C0105,ユーザビリティ,0.194029850746,0.0555555555556,0.138474295191,0.138474295191,0.0467318924434
C0106,コミュニケーションの円滑化,0.0373134328358,0.0,0.0373134328358,0.0373134328358,0.239422817809
C0107,ユーザー状態の正確な把握,0.0522388059701,0.416666666667,-0.364427860697,0.364427860697,7.3123120588e-09
C0108,見守り・監視の利便性向上,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
C0109,疑似体験による学習,0.0,0.0,0.0,0.0,
C0110,運動・勉強などへの動機付け,0.0149253731343,0.277777777778,-0.262852404643,0.262852404643,4.58632423241e-08
C0111,個人嗜好対応（カスタマイズ）性の向上,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
C0112,セキュリティ向上,0.0970149253731,0.0833333333333,0.0136815920398,0.0136815920398,0.802896781304
C0113,プライバシー保護の向上,0.0,0.0,0.0,0.0,
C0198,解決課題（効果・価値）に関し非限定,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
C0199,その他の解決課題（効果・価値）,0.119402985075,0.25,-0.130597014925,0.130597014925,0.0494955536358
D0101,構造,0.0970149253731,0.111111111111,-0.014096185738,0.014096185738,0.802355936673
D0102,材料,0.0298507462687,0.111111111111,-0.0812603648425,0.0812603648425,0.0409426282332
D0103,寸法,0.044776119403,0.0,0.044776119403,0.044776119403,0.196136193354
D0104,小型・軽量化,0.15671641791,0.0,0.15671641791,0.15671641791,0.0111770843064
D0105,低コスト化,0.0298507462687,0.111111111111,-0.0812603648425,0.0812603648425,0.0409426282332
D0106,耐久性,0.0,0.0,0.0,0.0,
D0107,防水性,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0108,形状,0.0,0.111111111111,-0.111111111111,0.111111111111,9.42936434417e-05
D0109,互換性,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
D0110,ファッション性,0.0,0.0,0.0,0.0,
D0198,全体設計（デザイン）に関し非限定,0.0,0.0,0.0,0.0,
D0199,その他の全体設計（デザイン）,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
D0201,充電,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0202,蓄電,0.0,0.0,0.0,0.0,
D0203,電池,0.0970149253731,0.0,0.0970149253731,0.0970149253731,0.0518151143161
D0204,稼動時間,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
D0205,省電力化・節電,0.044776119403,0.0,0.044776119403,0.044776119403,0.196136193354
D0298,電源装置に関し非限定,0.0,0.0,0.0,0.0,
D0299,その他の電源装置,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0301,情報処理能力,0.0,0.0,0.0,0.0,
D0302,中央演算装置（CPU）,0.089552238806,0.361111111111,-0.271558872305,0.271558872305,4.41732559761e-05
D0303,記憶装置(RAM、ROM、HDDなど),0.089552238806,0.25,-0.160447761194,0.160447761194,0.00938995044895
D0304,I・Oインターフェイス,0.0522388059701,0.0555555555556,-0.00331674958541,0.00331674958541,0.937107886082
D0398,演算・インターフェイス装置に関し非限定,0.373134328358,0.111111111111,0.262023217247,0.262023217247,0.00271693772321
D0399,その他の演算・インターフェイス装置,0.0,0.0,0.0,0.0,
D0401,カメラ,0.298507462687,0.333333333333,-0.0348258706468,0.0348258706468,0.687233201367
D0402,マイク,0.119402985075,0.25,-0.130597014925,0.130597014925,0.0494955536358
D0403,ジェスチャー,0.186567164179,0.111111111111,0.075456053068,0.075456053068,0.28525164602
D0404,高精度情報化,0.238805970149,0.0555555555556,0.183250414594,0.183250414594,0.0146702888879
D0405,視線入力,0.0,0.0833333333333,-0.0833333333333,0.0833333333333,0.000747498472196
D0406,タッチパネル,0.238805970149,0.111111111111,0.127694859038,0.127694859038,0.0959252727054
D0498,入力装置に関し非限定,0.0,0.0,0.0,0.0,
D0499,その他の入力装置,0.089552238806,0.0277777777778,0.0617744610282,0.0617744610282,0.215615729458
D0501,ディスプレイ,0.701492537313,0.416666666667,0.284825870647,0.284825870647,0.00156034448346
D0502,時計,0.0671641791045,0.0,0.0671641791045,0.0671641791045,0.110079949906
D0503,電子ペーパー,0.0,0.0,0.0,0.0,
D0504,スピーカー,0.194029850746,0.25,-0.0559701492537,0.0559701492537,0.460899227326
D0505,イヤフォン・ヘッドフォン,0.111940298507,0.111111111111,0.000829187396352,0.000829187396352,0.988814861539
D0506,バイブレーション,0.0373134328358,0.0,0.0373134328358,0.0373134328358,0.239422817809
D0598,出力装置に関し非限定,0.0,0.0,0.0,0.0,
D0599,その他の出力装置,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
D0601,受信装置,0.283582089552,0.166666666667,0.116915422886,0.116915422886,0.155036984544
D0602,発信装置,0.283582089552,0.25,0.0335820895522,0.0335820895522,0.689173916998
D0603,通信速度,0.0,0.0,0.0,0.0,
D0698,通信装置に関し非限定,0.0,0.0,0.0,0.0,
D0699,その他の通信装置,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0701,3G・LTE,0.0,0.0833333333333,-0.0833333333333,0.0833333333333,0.000747498472196
D0702,WiＦｉ,0.0671641791045,0.388888888889,-0.321724709784,0.321724709784,5.42599147768e-07
D0703,BlueＴooth,0.0671641791045,0.388888888889,-0.321724709784,0.321724709784,5.42599147768e-07
D0704,近接通信（赤外線等）,0.0970149253731,0.111111111111,-0.014096185738,0.014096185738,0.802355936673
D0798,通信方式に関し非限定,0.0597014925373,0.0,0.0597014925373,0.0597014925373,0.133149931345
D0799,その他の通信装置,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
D0801,スイッチ類,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0802,調整部品,0.0,0.0,0.0,0.0,
D0803,選択部品,0.0149253731343,0.0555555555556,-0.0406301824212,0.0406301824212,0.153325329503
D0898,操作部品に関し非限定,0.0,0.0,0.0,0.0,
D0899,その他の操作部品,0.0,0.0,0.0,0.0,
D0901,暗号,0.0149253731343,0.0277777777778,-0.0128524046434,0.0128524046434,0.603071674942
D0902,認証,0.0298507462687,0.0833333333333,-0.0534825870647,0.0534825870647,0.151620751479
D0903,生体認証,0.0522388059701,0.0,0.0522388059701,0.0522388059701,0.161368066455
D0998,セキュリティ制御に関し非限定,0.0,0.0,0.0,0.0,
D0999,その他のセキュリティ制御,0.0,0.0,0.0,0.0,
D9998,解決課題（構造・構成）に関し非限定,0.0,0.0,0.0,0.0,
D9999,その他の解決課題（構造・構成）,0.0,0.0,0.0,0.0,
E0101,BIOSシステム,0.0,0.0,0.0,0.0,
E0102,オペレーション・システム（OS）,0.00746268656716,0.0,0.00746268656716,0.00746268656716,0.603166532239
E0103,アプリケーション,0.574626865672,0.75,-0.175373134328,0.175373134328,0.0552489100483
E0104,output制御,0.208955223881,0.111111111111,0.0978441127695,0.0978441127695,0.182412831396
E0105,画像処理,0.417910447761,0.361111111111,0.0567993366501,0.0567993366501,0.537795816063
E0198,ソフトウェアに関し非限定,0.0,0.0,0.0,0.0,
E0199,その他のソフトウェア,0.089552238806,0.0555555555556,0.0339966832504,0.0339966832504,0.510039062636
F0101,振動,0.0,0.0,0.0,0.0,
F0102,加速度,0.0970149253731,0.194444444444,-0.0974295190713,0.0974295190713,0.107210042561
F0103,角速度,0.00746268656716,0.0,0.00746268656716,0.00746268656716,0.603166532239
F0104,ひずみ,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
F0105,圧力,0.044776119403,0.0,0.044776119403,0.044776119403,0.196136193354
F0106,方向・傾き（ジャイロ）,0.0746268656716,0.166666666667,-0.092039800995,0.092039800995,0.0931273822191
F0198,モーション（動作）・センサーに関し非限定,0.0373134328358,0.0555555555556,-0.0182421227197,0.0182421227197,0.624800401055
F0199,その他のモーション・センサ,0.0597014925373,0.0277777777778,0.0319237147595,0.0319237147595,0.447574887729
F0201,心拍,0.0373134328358,0.305555555556,-0.26824212272,0.26824212272,9.89724262731e-07
F0202,脈拍,0.0597014925373,0.0277777777778,0.0319237147595,0.0319237147595,0.447574887729
F0203,血圧,0.0149253731343,0.0555555555556,-0.0406301824212,0.0406301824212,0.153325329503
F0204,体温,0.0149253731343,0.0555555555556,-0.0406301824212,0.0406301824212,0.153325329503
F0205,発汗,0.0,0.305555555556,-0.305555555556,0.305555555556,3.67989589024e-11
F0206,血糖値,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
F0207,筋電,0.044776119403,0.0,0.044776119403,0.044776119403,0.196136193354
F0208,脳波,0.0,0.0,0.0,0.0,
F0298,バイタル（生体）・センサーに関し非限定,0.0746268656716,0.138888888889,-0.0642620232172,0.0642620232172,0.227470937004
F0299,その他のバイタル・センサー,0.0597014925373,0.305555555556,-0.245854063018,0.245854063018,3.22991865198e-05
F0301,臭い・匂い・香り,0.0,0.0,0.0,0.0,
F0302,味,0.0,0.0,0.0,0.0,
F0398,セント（嗅覚）・テースト（味覚）センサーに関し非限定,0.0,0.0,0.0,0.0,
F0399,その他のセント（嗅覚）・テースト（味覚）センサー,0.0,0.0,0.0,0.0,
F0401,位置（GPS),0.0522388059701,0.333333333333,-0.281094527363,0.281094527363,2.00991827657e-06
F0402,方角,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
F0403,高度,0.0,0.0277777777778,-0.0277777777778,0.0277777777778,0.0529895915672
F0404,深度,0.0,0.0,0.0,0.0,
F0498,ポジション（位置）・センサーに関し非限定,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
F0499,その他のポジション（位置）・センサー,0.0,0.0,0.0,0.0,
F0501,距離,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
F0502,地磁気,0.0,0.111111111111,-0.111111111111,0.111111111111,9.42936434417e-05
F0598,ペリフェラル（周辺）・センサーに関し非限定,0.0,0.0,0.0,0.0,
F0599,その他のペリフェラル（周辺）・センサー,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
F0601,温度,0.0298507462687,0.305555555556,-0.275704809287,0.275704809287,2.2429260218e-07
F0602,湿度,0.0,0.305555555556,-0.305555555556,0.305555555556,3.67989589024e-11
F0603,風速,0.0,0.0277777777778,-0.0277777777778,0.0277777777778,0.0529895915672
F0604,降雨,0.0,0.0,0.0,0.0,
F0605,日照,0.0,0.0,0.0,0.0,
F0698,クライメイト（気候）・センサー非限定,0.0,0.0833333333333,-0.0833333333333,0.0833333333333,0.000747498472196
F0699,その他のクライメイト（気候）・センサー,0.0,0.277777777778,-0.277777777778,0.277777777778,3.19993929219e-10
F0701,電波時計,0.0,0.0,0.0,0.0,
F0702,インターネット時計,0.0,0.0,0.0,0.0,
F0798,タイム（時刻）・センサーに関し非限定,0.0,0.0,0.0,0.0,
F0799,その他のタイム（時刻）・センサー,0.0,0.0,0.0,0.0,
F0801,酸性・アルカリ性,0.0,0.0,0.0,0.0,
F0802,酸化性・還元性,0.0,0.0,0.0,0.0,
F0803,濃度,0.0,0.0,0.0,0.0,
F0898,ケミカル（化学）・センサーに関し非限定,0.0,0.0,0.0,0.0,
